Nmer_use_case	FPR_N=2	FPR_N=3	FPR_N=4	FPR_N=5	FPR_N=6	min_TPR_N=2	max_TPR_N=2	5	4	3	2	1
0	0.01	0.0001	0.000001	0.00000001	1E-10	0.402	0.556	10.22	5.61	3.98	2.04	1.86
2	0.05	0.0025	0.000125	0.00000625	0.0000003125	0.544	0.615	12.96	10.53	7.21	4.46	3.08
3	0.1	0.01	0.001	0.0001	0.00001	0.598	0.633	14.79	14.08	10.39	7.2	3.9
0	0.15	0.0225	0.003375	0.00050625	0.0000759375	0.645	0.68	15.95	14.08	11.93	10.28	5.54
4	0.2	0.04	0.008	0.0016	0.00032	0.669	0.734	17	14.68	13.38	11.72	6.76
0	0.25	0.0625	0.015625	0.00390625	0.0009765625	0.68	0.751	17.53	15.52	14.27	12.52	8.01
5	0.3	0.09	0.027	0.0081	0.00243	0.704	0.788	18.48	16.09	14.98	13.7	9.29
0	0.35	0.1225	0.042875	0.01500625	0.0052521875	0.751	0.805	19.92	17.39	15.8	14.41	10.82
6	0.4	0.16	0.064	0.0256	0.01024	0.757	0.84	20.32	18.02	16.8	15.09	11.56
7	0.4	0.16	0.064	0.0256	0.01024	0.757	0.84	20.32	18.02	16.8	15.09	11.56
8	0.4	0.16	0.064	0.0256	0.01024	0.757	0.84	20.32	18.02	16.8	15.09	11.56
9	0.4	0.16	0.064	0.0256	0.01024	0.757	0.84	20.32	18.02	16.8	15.09	11.56
10	0.4	0.16	0.064	0.0256	0.01024	0.757	0.84	20.32	18.02	16.8	15.09	11.56
11	0.4	0.16	0.064	0.0256	0.01024	0.757	0.84	20.32	18.02	16.8	15.09	11.56
12	0.4	0.16	0.064	0.0256	0.01024	0.757	0.84	20.32	18.02	16.8	15.09	11.56
13	0.4	0.16	0.064	0.0256	0.01024	0.757	0.84	20.32	18.02	16.8	15.09	11.56
14	0.4	0.16	0.064	0.0256	0.01024	0.757	0.84	20.32	18.02	16.8	15.09	11.56
15	0.4	0.16	0.064	0.0256	0.01024	0.757	0.84	20.32	18.02	16.8	15.09	11.56
16	0.4	0.16	0.064	0.0256	0.01024	0.757	0.84	20.32	18.02	16.8	15.09	11.56
17	0.4	0.16	0.064	0.0256	0.01024	0.757	0.84	20.32	18.02	16.8	15.09	11.56
18	0.4	0.16	0.064	0.0256	0.01024	0.757	0.84	20.32	18.02	16.8	15.09	11.56
19	0.4	0.16	0.064	0.0256	0.01024	0.757	0.84	20.32	18.02	16.8	15.09	11.56
20	0.4	0.16	0.064	0.0256	0.01024	0.757	0.84	20.32	18.02	16.8	15.09	11.56
21	0.4	0.16	0.064	0.0256	0.01024	0.757	0.84	20.32	18.02	16.8	15.09	11.56
22	0.4	0.16	0.064	0.0256	0.01024	0.757	0.84	20.32	18.02	16.8	15.09	11.56
23	0.4	0.16	0.064	0.0256	0.01024	0.757	0.84	20.32	18.02	16.8	15.09	11.56
24	0.4	0.16	0.064	0.0256	0.01024	0.757	0.84	20.32	18.02	16.8	15.09	11.56
25	0.4	0.16	0.064	0.0256	0.01024	0.757	0.84	20.32	18.02	16.8	15.09	11.56
26	0.4	0.16	0.064	0.0256	0.01024	0.757	0.84	20.32	18.02	16.8	15.09	11.56
27	0.4	0.16	0.064	0.0256	0.01024	0.757	0.84	20.32	18.02	16.8	15.09	11.56
28	0.4	0.16	0.064	0.0256	0.01024	0.757	0.84	20.32	18.02	16.8	15.09	11.56
29	0.4	0.16	0.064	0.0256	0.01024	0.757	0.84	20.32	18.02	16.8	15.09	11.56
30	0.4	0.16	0.064	0.0256	0.01024	0.757	0.84	20.32	18.02	16.8	15.09	11.56
