type	id1	id2	is_multivalent	prot1	prot2
homo	5F8V-2	5F8V-2	FALSE	PSAT	PSAT
homo	7TUR-2	7TUR-2	FALSE	AAT	AAT
homo	7S2H-2	7S2H-2	FALSE	GCK	GCK
homo	6J9Q-2	6J9Q-2	FALSE	GK	GK
homo	5AB5-2	5AB5-2	FALSE	SLP	SLP
homo	8J6E-2	8J6E-2	FALSE	QOR	QOR
homo	3IBA-o2	3IBA-o2	FALSE	FPPS	FPPS
homo	5EUC-4	5EUC-4	TRUE	HPRT	HPRT
homo	7WP3-3	7WP3-3	TRUE	PCNA	PCNA
homo	7WHR-6	7WHR-6	TRUE	GMPP	GMPP
homo	7MK0-6	7MK0-6	TRUE	NDK1	NDK1
homo	8I40-4	8I40-4	TRUE	ASCT	ASCT
homo	7V4J-5	7V4J-5	TRUE	GSIb	GSIb
homo	1A7K-4	1A7K-4	TRUE	GAPDH	GAPDH
hetero	1Y14-oP1	1Y14-oQ1	FALSE	RPB4	RPB7
hetero	8SGZ-P6	8SGZ-Q6	FALSE	PCCα	PCCβ
hetero	8GH2-P1	8GH2-Q1	FALSE	MDH	PEX5
hetero	8CDP-P1	8CDP-Q1	FALSE	GAP1	GAP2
hetero	2GIA-oP2	2GIA-oQ2	TRUE	MRP1	MRP2
hetero	3MZL-oP2	3MZL-oQ2	TRUE	SEC13	SEC31
hetero	5FIL-oP3	5FIL-oQ3	TRUE	ATPSα	ATPSβ
hetero	6DFT-P2	6DFT-Q2	TRUE	DHSc	DHSp
hetero	7Q8S-P5	7Q8S-Q5	TRUE	ACT	Cofilin
hetero	8RTH-P6	8RTH-Q6	TRUE	MCCα	MCCβ
hetero	8U0V-oP3	8U0V-oQ3	TRUE	PEX1	PEX6
hetero	9EMC-oP3	9EMC-oQ3	TRUE	RUVBL1	RUVBL2
