type	id1	id2	prot1	prot2	is_multivalent	N	stoich	ppi_modes	cumulative_modes	2mers_ok	3mers_ok	plus4mers_ok	comments
homo	5F8V-2	5F8V-2	PSAT	PSAT	FALSE	2	2	1	1	TRUE	TRUE	NA	True stoichiometry
homo	5F8V-2	5F8V-2	PSAT	PSAT	FALSE	3	3	1	1	TRUE	TRUE	NA	
homo	7TUR-2	7TUR-2	AAT	AAT	FALSE	2	2	1	1	TRUE	TRUE	NA	True stoichiometry
homo	7TUR-2	7TUR-2	AAT	AAT	FALSE	3	3	1	1	TRUE	TRUE	NA	
homo	7S2H-2	7S2H-2	GCK	GCK	FALSE	2	2	1	1	TRUE	TRUE	NA	True stoichiometry
homo	7S2H-2	7S2H-2	GCK	GCK	FALSE	3	3	1	1	TRUE	TRUE	NA	
homo	6J9Q-2	6J9Q-2	GK	GK	FALSE	2	2	1	1	TRUE	TRUE	NA	True stoichiometry
homo	6J9Q-2	6J9Q-2	GK	GK	FALSE	3	3	1	1	TRUE	TRUE	NA	
homo	5AB5-2	5AB5-2	SLP	SLP	FALSE	2	2	1	1	TRUE	TRUE	NA	True stoichiometry
homo	5AB5-2	5AB5-2	SLP	SLP	FALSE	3	3	1	1	TRUE	TRUE	NA	
homo	8J6E-2	8J6E-2	QOR	QOR	FALSE	2	2	1	1	TRUE	TRUE	NA	True stoichiometry
homo	8J6E-2	8J6E-2	QOR	QOR	FALSE	3	3	1	1	TRUE	TRUE	NA	
homo	3IBA-o2	3IBA-o2	FPPS	FPPS	FALSE	2	2	1	1	TRUE	TRUE	NA	True stoichiometry
homo	3IBA-o2	3IBA-o2	FPPS	FPPS	FALSE	3	3	1	1	TRUE	TRUE	NA	
#	#	#	#	#	#		#	#	#	#	#	#	#
#	#	#	#	#	#		#	#	#	#	#	#	#
homo	5EUC-4	5EUC-4	HPRT	HPRT	FALSE	2	2	1	1	TRUE	TRUE	TRUE	
homo	5EUC-4	5EUC-4	HPRT	HPRT	TRUE	3	3	3	3	TRUE	TRUE	TRUE	The 1st and 2nd interaction modes are clear and are the main stabilizers of the structure. The 3rd one is not clear, but it must appear in the contact matrixes.
homo	5EUC-4	5EUC-4	HPRT	HPRT	TRUE	4	4	3	3	TRUE	TRUE	TRUE	The 1st and 2nd interaction modes are clear and are the main stabilizers of the structure. The 3rd one is not clear, but it must appear in the contact matrixes.
homo	5EUC-4	5EUC-4	HPRT	HPRT	TRUE	5	5	3	3	TRUE	TRUE	TRUE	The 5th chain is modeled outside the stable homo-4-mer 
homo	7WP3-3	7WP3-3	PCNA	PCNA	FALSE	2	2	0	0	TRUE	TRUE	TRUE	PPI is not detected (FP)
homo	7WP3-3	7WP3-3	PCNA	PCNA	TRUE	3	3	2	2	TRUE	TRUE	TRUE	This is the true stoichiometry
homo	7WP3-3	7WP3-3	PCNA	PCNA	TRUE	4	4	2	2	TRUE	TRUE	TRUE	AF keeps adding subunits to the circle, but it is still divalent
homo	7WHR-6	7WHR-6	GMPP	GMPP	FALSE	2	2	1	1	TRUE	TRUE	TRUE	
homo	7WHR-6	7WHR-6	GMPP	GMPP	TRUE	3	3	2	2	TRUE	TRUE	TRUE	
homo	7WHR-6	7WHR-6	GMPP	GMPP	TRUE	4	4	2	2	TRUE	TRUE	TRUE	
homo	7WHR-6	7WHR-6	GMPP	GMPP	TRUE	5	5	2	2	TRUE	TRUE	TRUE	
